order_id,date,customer_id,product_category,amount,payment_method,status,country
ORD-10000,2024-11-30,CUST-3024,Sports,180.4,Apple Pay,completed,Canada
ORD-10001,2023-05-10,CUST-3047,Clothing,146.38,PayPal,completed,UK
ORD-10002,2024-12-05,CUST-3459,Home & Garden,240.26,Bank Transfer,shipped,UK
ORD-10003,2024-04-19,CUST-2147,Books,36.83,Apple Pay,completed,Netherlands
ORD-10004,2023-09-14,CUST-2870,Beauty,79.06,Google Pay,processing,Germany
ORD-10005,2023-09-08,CUST-4721,Toys,56.72,Debit Card,cancelled,Netherlands
ORD-10006,2024-03-15,CUST-2237,Toys,84.31,Bank Transfer,completed,Canada
ORD-10007,2024-05-17,CUST-2081,Sports,121.25,Bank Transfer,completed,Australia
ORD-10008,2024-07-19,CUST-4744,Electronics,352.08,Bank Transfer,processing,UK
ORD-10009,2024-05-02,CUST-4098,Sports,36.16,Debit Card,shipped,USA
ORD-10010,2023-03-08,CUST-2194,Home & Garden,289.96,Google Pay,completed,Netherlands
ORD-10011,2023-03-08,CUST-2809,Clothing,135.68,Debit Card,processing,UK
ORD-10012,2023-02-17,CUST-2740,Sports,196.48,Google Pay,completed,Sweden
ORD-10013,2024-08-29,CUST-3341,Electronics,511.37,Debit Card,completed,Germany
ORD-10014,2023-08-04,CUST-3622,Beauty,68.68,PayPal,refunded,Sweden
ORD-10015,2024-10-25,CUST-1774,Books,11.59,PayPal,processing,Canada
ORD-10016,2023-01-22,CUST-2008,Electronics,148.54,Credit Card,completed,Canada
ORD-10017,2024-08-31,CUST-1452,Sports,102.16,Bank Transfer,cancelled,Netherlands
ORD-10018,2024-02-16,CUST-3370,Electronics,327.12,Apple Pay,refunded,UK
ORD-10019,2024-05-01,CUST-4111,Clothing,145.5,Debit Card,processing,USA
ORD-10020,2024-07-14,CUST-2327,Sports,89.98,Debit Card,completed,Netherlands
ORD-10021,2024-05-19,CUST-3751,Clothing,94.45,Credit Card,refunded,Germany
ORD-10022,2023-09-10,CUST-4078,Sports,194.65,Debit Card,processing,Netherlands
ORD-10023,2024-01-08,CUST-2118,Toys,183.11,PayPal,completed,Sweden
ORD-10024,2024-01-05,CUST-3291,Electronics,597.18,PayPal,refunded,Canada
ORD-10025,2024-09-01,CUST-3689,Books,48.03,Apple Pay,completed,UK
ORD-10026,2023-09-04,CUST-4009,Electronics,375.42,PayPal,completed,Canada
ORD-10027,2024-04-11,CUST-1151,Clothing,83.05,Apple Pay,completed,Germany
ORD-10028,2024-01-06,CUST-4581,Books,15.52,Debit Card,cancelled,Sweden
ORD-10029,2023-04-11,CUST-4128,Toys,134.52,PayPal,cancelled,France
ORD-10030,2023-02-11,CUST-3822,Electronics,237.04,Debit Card,completed,UK
ORD-10031,2024-10-13,CUST-1301,Books,21.92,Debit Card,completed,USA
ORD-10032,2023-07-28,CUST-3492,Home & Garden,173.78,PayPal,shipped,Netherlands
ORD-10033,2023-06-19,CUST-2019,Home & Garden,176.91,Apple Pay,shipped,Netherlands
ORD-10034,2024-12-18,CUST-3911,Toys,58.55,Debit Card,processing,UK
ORD-10035,2023-01-07,CUST-3178,Clothing,72.83,Credit Card,completed,Netherlands
ORD-10036,2023-06-22,CUST-4972,Toys,172.23,Apple Pay,completed,France
ORD-10037,2024-01-03,CUST-3890,Toys,114.62,Bank Transfer,completed,France
ORD-10038,2023-03-13,CUST-2593,Electronics,568.02,Bank Transfer,refunded,Australia
ORD-10039,2023-09-14,CUST-4368,Clothing,38.2,Bank Transfer,refunded,Germany
ORD-10040,2024-09-20,CUST-1159,Sports,151.4,Debit Card,shipped,UK
ORD-10041,2023-01-10,CUST-2078,Sports,268.42,Apple Pay,completed,UK
ORD-10042,2023-10-28,CUST-2055,Books,55.48,Debit Card,refunded,Australia
ORD-10043,2024-11-21,CUST-3004,Toys,168.65,Apple Pay,processing,Canada
ORD-10044,2023-07-31,CUST-2812,Home & Garden,294.98,Apple Pay,completed,Netherlands
ORD-10045,2023-02-05,CUST-4911,Beauty,32.44,Google Pay,completed,France
ORD-10046,2024-06-20,CUST-2032,Sports,166.8,Bank Transfer,refunded,Sweden
ORD-10047,2024-05-19,CUST-2514,Clothing,124.2,Apple Pay,completed,Germany
ORD-10048,2023-03-11,CUST-4693,Home & Garden,241.87,Credit Card,refunded,Australia
ORD-10049,2023-11-18,CUST-1530,Beauty,54.54,Debit Card,cancelled,Germany
ORD-10050,2024-02-29,CUST-2221,Beauty,82.72,Bank Transfer,completed,France
ORD-10051,2023-01-13,CUST-2015,Beauty,23.93,Apple Pay,refunded,Germany
