month,revenue,cogs,gross_profit,opex,ebitda,net_income,growth_pct
2022-01,1098828,483342,615486,370054,245432,185052,
2022-02,1108179,494527,613652,357903,255749,184226,
2022-03,1249300,560856,688444,374840,313604,258966,
2022-04,1270131,521616,748515,428338,320177,247540,
2022-05,1369066,531461,837605,461348,376257,295257,
2022-06,1377503,598343,779160,480123,299037,236234,
2022-07,1409351,633493,775858,397590,378268,301807,
2022-08,1382674,536772,845902,408742,437160,346025,
2022-09,1296046,542644,753402,412582,340820,247673,
2022-10,1229258,494713,734545,350556,383989,324317,
2022-11,1175635,484249,691386,389470,301916,236136,
2022-12,1126779,475861,650918,374412,276506,225833,
2023-01,1186846,528139,658707,410885,247822,206617,10.4
2023-02,1241476,495030,746446,393655,352791,284018,9.2
2023-03,1314296,550903,763393,408386,355007,255681,7.8
2023-04,1426509,582005,844504,495622,348882,253667,9.5
2023-05,1543527,684681,858846,496994,361852,269340,12.9
2023-06,1565861,612731,953130,473586,479544,386816,12.0
2023-07,1522148,627527,894621,458502,436119,316116,9.5
2023-08,1467553,642587,824966,496196,328770,240178,9.1
2023-09,1411790,571443,840347,434728,405619,344137,10.4
2023-10,1358202,564317,793885,428544,365341,306596,12.1
2023-11,1271723,552860,718863,421028,297835,242990,9.2
2023-12,1265024,541396,723628,428351,295277,223949,9.7
2024-01,1322462,547155,775307,419752,355555,277484,11.8
2024-02,1366311,591144,775167,420045,355122,264057,9.2
2024-03,1501719,612669,889050,481360,407690,345600,11.9
2024-04,1591297,663105,928192,477175,451017,366304,11.0
2024-05,1701568,730961,970607,568140,402467,306423,13.1
2024-06,1674412,678192,996220,524955,471265,394036,8.8
2024-07,1679028,658764,1020264,532788,487476,367439,9.8
2024-08,1641687,662760,978927,569020,409907,318414,10.9
2024-09,1556206,655043,901163,480817,420346,356089,10.6
2024-10,1427026,616555,810471,425973,384498,279879,7.0
2024-11,1382780,598139,784641,475136,309505,254042,7.9
2024-12,1377648,571390,806258,397167,409091,316862,8.6
