employee_id,department,hire_date,salary,performance_score,tenure_years,attrition
1001,Marketing,2023-08-19,80728,3.0,1.4,0
1002,Sales,2023-04-24,79366,4.3,1.7,0
1003,Finance,2016-06-23,123293,3.6,8.5,0
1004,HR,2017-06-14,88973,2.7,7.5,0
1005,Engineering,2021-08-10,96909,3.4,3.4,0
1006,Engineering,2023-02-02,118339,3.4,1.9,0
1007,Product,2022-12-23,112727,2.6,2.0,0
1008,Operations,2020-12-01,70390,3.0,4.1,0
1009,Engineering,2021-05-14,133553,3.1,3.6,0
1010,Marketing,2015-12-24,102212,2.8,9.0,0
1011,Operations,2015-09-13,96748,3.6,9.3,0
1012,Engineering,2015-09-10,150751,2.8,9.3,0
1013,Operations,2020-04-07,85606,3.5,4.7,0
1014,Sales,2016-05-16,88269,3.6,8.6,0
1015,Engineering,2023-02-16,108623,3.4,1.9,0
1016,Engineering,2018-05-27,114309,3.0,6.6,0
1017,Finance,2019-11-03,108710,4.3,5.2,0
1018,Finance,2020-08-25,103338,3.3,4.4,0
1019,Engineering,2021-12-07,124884,3.4,3.1,0
1020,Sales,2019-08-16,87046,3.2,5.4,0
1021,Engineering,2021-01-27,131692,3.3,3.9,0
1022,Operations,2022-06-21,80150,2.7,2.5,1
1023,Finance,2023-02-12,96943,3.0,1.9,0
1024,Engineering,2023-06-24,103971,3.1,1.5,0
1025,Product,2022-05-25,110595,3.9,2.6,0
1026,Operations,2019-05-26,81094,3.5,5.6,0
1027,Engineering,2020-02-23,139001,3.6,4.9,0
1028,Sales,2018-06-22,88557,2.3,6.5,0
1029,HR,2016-03-25,92860,2.5,8.8,0
1030,HR,2018-11-16,86800,3.6,6.1,0
1031,Operations,2016-06-06,87507,3.3,8.6,0
1032,Engineering,2023-10-21,128461,3.2,1.2,0
1033,Operations,2018-05-20,73127,4.3,6.6,0
1034,Operations,2023-07-26,73051,3.1,1.4,0
1035,Finance,2017-09-04,132416,3.3,7.3,0
1036,Engineering,2020-09-06,113539,4.5,4.3,0
1037,Sales,2022-11-17,72858,4.3,2.1,0
1038,Engineering,2016-06-18,129706,2.4,8.5,0
1039,Operations,2017-08-12,79220,3.8,7.4,0
1040,Product,2020-01-21,106470,2.8,4.9,1
1041,Sales,2023-11-19,77170,3.2,1.1,0
1042,Marketing,2022-04-02,83582,3.4,2.7,0
1043,Finance,2021-03-26,110191,3.2,3.8,0
1044,Sales,2016-02-05,103723,3.4,8.9,0
1045,Operations,2020-12-24,86139,3.2,4.0,0
1046,Engineering,2019-03-06,140514,3.8,5.8,0
1047,Operations,2019-12-25,70880,2.5,5.0,0
1048,Marketing,2022-02-04,86840,4.0,2.9,0
1049,Operations,2020-11-12,78982,3.4,4.1,0
1050,Product,2022-06-06,94119,3.4,2.6,0
1051,HR,2022-02-13,73414,3.7,2.9,0
1052,Sales,2020-05-09,76358,3.0,4.6,0
1053,Engineering,2016-02-10,143854,4.7,8.9,0
1054,Operations,2015-08-26,88778,3.5,9.3,0
1055,Operations,2023-08-17,72247,3.5,1.4,0
1056,HR,2015-09-23,86796,2.2,9.3,0
1057,Sales,2017-03-20,86377,3.2,7.8,1
1058,Marketing,2017-05-21,86983,2.9,7.6,1
1059,Engineering,2016-10-25,136354,3.5,8.2,1
1060,Operations,2016-09-25,89241,2.9,8.3,0
1061,HR,2019-08-24,68644,3.4,5.4,0
1062,Engineering,2016-04-20,161440,4.4,8.7,0
1063,Operations,2019-10-23,58966,3.7,5.2,0
1064,Engineering,2021-12-21,105685,3.3,3.0,0
1065,Operations,2016-09-18,87383,4.4,8.3,0
1066,Sales,2023-06-18,62024,4.4,1.5,0
